Tree,Group,periodBegin,periodEnd
FB1,333,2022-08-20T01:15:00Z,2022-08-20T05:15:00Z
FB1,334,2022-08-20T19:15:00Z,2022-08-21T01:00:00Z
FB1,335,2022-08-22T01:00:00Z,2022-08-22T04:30:00Z
FB1,336,2022-09-12T00:45:00Z,2022-09-12T05:30:00Z
FB1,337,2022-09-30T00:15:00Z,2022-09-30T05:30:00Z
FB1,338,2022-10-03T17:45:00Z,2022-10-03T22:00:00Z
FB1,339,2022-10-06T17:45:00Z,2022-10-06T20:45:00Z
FB1,340,2022-10-24T01:15:00Z,2022-10-24T05:30:00Z
FB1,341,2022-10-26T17:30:00Z,2022-10-26T23:30:00Z
FB1,342,2022-10-31T17:45:00Z,2022-10-31T21:30:00Z
FB1,343,2022-11-03T21:00:00Z,2022-11-04T05:30:00Z
FB1,344,2022-11-08T02:00:00Z,2022-11-08T05:30:00Z
FB1,345,2022-12-01T22:15:00Z,2022-12-02T03:30:00Z
FB1,346,2022-12-04T17:30:00Z,2022-12-04T20:30:00Z
FB1,347,2022-12-05T01:00:00Z,2022-12-05T05:45:00Z
FB1,348,2022-12-05T19:00:00Z,2022-12-06T05:00:00Z
FB1,349,2022-12-08T02:30:00Z,2022-12-08T06:15:00Z
FB1,350,2022-12-08T17:30:00Z,2022-12-09T00:15:00Z
FB1,351,2022-12-12T17:30:00Z,2022-12-13T00:30:00Z
FB1,352,2022-12-14T19:15:00Z,2022-12-15T06:00:00Z
FB1,353,2022-12-16T21:00:00Z,2022-12-17T01:30:00Z
FB1,354,2022-12-26T01:15:00Z,2022-12-26T04:15:00Z
FB1,355,2022-12-27T23:45:00Z,2022-12-28T03:15:00Z
FB1,356,2022-12-28T22:30:00Z,2022-12-29T06:00:00Z
FB1,357,2023-01-08T02:00:00Z,2023-01-08T06:00:00Z
FB1,358,2023-01-09T21:30:00Z,2023-01-10T06:00:00Z
FB1,359,2023-01-10T23:45:00Z,2023-01-11T06:00:00Z
FB1,360,2023-01-13T18:00:00Z,2023-01-14T03:00:00Z
FB1,361,2023-01-19T20:45:00Z,2023-01-20T02:30:00Z
FB1,362,2023-01-28T18:00:00Z,2023-01-28T21:30:00Z
FB1,363,2023-02-18T19:00:00Z,2023-02-18T22:15:00Z
FB1,364,2023-02-22T18:00:00Z,2023-02-22T22:45:00Z
FB1,365,2023-02-23T03:00:00Z,2023-02-23T06:00:00Z
FB1,366,2023-03-01T23:30:00Z,2023-03-02T06:00:00Z
FB1,367,2023-03-02T18:00:00Z,2023-03-03T00:00:00Z
FB1,368,2023-03-03T21:30:00Z,2023-03-04T05:45:00Z
FB1,369,2023-03-07T22:45:00Z,2023-03-08T03:30:00Z
FB1,370,2023-03-08T18:00:00Z,2023-03-09T04:30:00Z
FB1,371,2023-03-18T00:00:00Z,2023-03-18T05:45:00Z
FB1,372,2023-03-19T18:15:00Z,2023-03-19T21:45:00Z
FB1,373,2023-03-21T00:15:00Z,2023-03-21T04:45:00Z
FB1,374,2023-04-01T20:45:00Z,2023-04-02T01:30:00Z
FB1,375,2023-04-11T18:15:00Z,2023-04-12T05:30:00Z
FB1,376,2023-04-12T18:15:00Z,2023-04-12T22:30:00Z
FB1,377,2023-04-16T01:30:00Z,2023-04-16T05:00:00Z
FB1,378,2023-04-20T18:30:00Z,2023-04-21T00:00:00Z
FB1,379,2023-05-02T01:15:00Z,2023-05-02T05:15:00Z
FB1,380,2023-05-03T20:15:00Z,2023-05-04T00:00:00Z
FB1,381,2023-05-05T18:45:00Z,2023-05-05T23:00:00Z
FB1,382,2023-05-22T18:45:00Z,2023-05-22T22:00:00Z
FB1,383,2023-06-03T18:15:00Z,2023-06-03T22:00:00Z
FB1,384,2023-06-06T18:15:00Z,2023-06-06T22:45:00Z
FB1,385,2023-06-11T18:15:00Z,2023-06-12T05:30:00Z
FB2,386,2022-06-27T21:15:00Z,2022-06-28T05:30:00Z
