Tree,Cable,Timestamp,baseline_inner,baseline_middle,baseline_outer
FB1,4b,2023-08-26T19:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T19:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T20:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T20:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T20:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T20:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T21:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T21:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T21:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T21:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T22:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T22:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T22:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T22:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T23:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T23:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T23:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T23:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T00:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T00:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T00:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T00:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T01:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T01:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T01:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T01:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T02:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T02:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T02:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T02:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T03:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T03:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T03:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T03:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T04:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T04:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T04:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T04:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T05:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T05:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T05:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T05:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T06:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T06:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T06:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T06:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T07:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T07:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T07:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T07:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T08:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T08:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T08:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T08:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T09:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T09:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T09:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T09:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T10:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-27T10:15:00Z,no_bl_val,no_bl_val,no_bl_val
